,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn,action,reward
0,0.7777777777777778,-0.9970126318468588,-1.25,0.0833333333333333,0.0,0.0047797173732335,0.0125769202481061,0.0159519883441252,0.1042345276872964,0.1180776951233911,0.0,1.0,0.863426854557266,-14.0625
1,0.0,0.848918721541539,-14.0625,0.9375,0.0,0.1002493765586035,0.0153472750006129,0.0195244194141297,0.2280130293159609,0.2582949580824182,0.1438053097345132,1.0,-0.3839346704761366,-8.4375
2,0.0,-0.3840814290690405,-8.4375,0.5625,0.2202251948866074,0.8960931005818786,0.0071587928117874,0.0089609927063712,0.2964169381107492,0.3357834455071437,0.0176991150442477,0.0,-0.19280956960262705,-5.3125
3,0.0,-0.1927075385083649,-5.3125,0.3541666666666667,0.1837713825167657,0.3616791354945968,0.5516438255411998,0.3102694177162496,0.3876221498371335,0.160575825559885,0.2964601769911504,0.0,-0.5516648244152269,-4.0625
4,0.0,-0.5513613562194835,-4.0625,0.2708333333333333,0.0,0.3616791354945968,0.5462747309323591,0.3072909337345776,0.3680781758957654,0.2328492147833274,0.2146017699115044,0.0,0.12235486821327399,-6.875
5,0.0,0.1217246014528734,-6.875,0.4583333333333333,0.0864268732513504,0.0494181213632585,0.1429061756846208,0.1812620784789647,0.257328990228013,0.291504309835872,0.1703539823008849,1.0,-0.6430890656888036,-5.0
6,0.0,-0.6423051990285658,-5.0,0.3333333333333333,0.1783740018855563,0.6485868661679135,0.1138051925764299,0.1444087914949264,0.1530944625407166,0.1734266147124808,0.1836283185840708,1.0,0.23456545307364554,-7.812500000000001
7,0.0,0.2358470335901255,-7.812500000000001,0.5208333333333334,0.0955621753904279,0.4101413133832086,0.4000833558067126,0.5056356767949329,0.1921824104234527,0.2177057503837524,0.8451327433628318,1.0,-0.06485790299262964,-5.625
8,0.0,-0.0655688420597342,-5.625,0.375,0.2942556730221606,0.6485868661679135,0.1212581823530853,0.1538621901783333,0.1465798045602606,0.1660467587672688,0.2809734513274336,1.0,-0.4842944184346185,-4.375
9,0.0,-0.4840765615428568,-4.375,0.2916666666666667,0.2106561452808711,0.3730673316708229,0.6018779572924072,0.3448060000887293,0.3648208469055374,0.3434092966505293,0.7079646017699115,0.0,-1.0,-2.1875
10,0.0,-1.0,-2.1875,0.1458333333333333,0.0005887151565543,0.2148794679966749,0.0339062002010345,0.0430646260040608,0.1140065146579804,0.1291474790412091,0.0,1.0,-0.46869099200139275,-4.0625
11,0.0,-0.4683230979105111,-4.0625,0.2708333333333333,0.2007052613636531,0.4101413133832086,0.39378263747579,0.4976438233027107,0.1465798045602606,0.1660467587672688,0.7389380530973452,1.0,0.5600170609666434,-10.625
12,0.0,0.559858384034545,-10.625,0.7083333333333334,0.0,0.2592684954280964,0.0432224374218539,0.0529920214144357,0.2117263843648208,0.2398453182193883,0.331858407079646,1.0,-0.7817107846437572,-5.3125
13,0.0,-0.7815665742448454,-5.3125,0.3541666666666667,0.0444106453152863,0.2690773067331671,0.0569271127019539,0.0703750801776741,0.263843648208469,0.2988841657810839,0.3960176991150442,1.0,-0.5885903513426567,-2.8125
14,0.0,-0.5887288198553343,-2.8125,0.1875,0.1003420785500566,0.732793017456359,0.3504621343989801,0.4445852963992917,0.4527687296416938,0.5128999881922305,0.3716814159292035,1.0,-0.18084305201359657,-5.0
15,0.0,-0.180883786545037,-5.0,0.3333333333333333,0.1837713825167657,0.3616791354945968,0.5516438255411998,0.3102694177162496,0.3713355048859935,0.1456193175109221,0.2964601769911504,0.0,-0.3386074823487973,-2.8125
16,0.0,-0.3394248272320015,-2.8125,0.1875,0.1034421912737334,0.3648794679966749,0.2901027237735664,0.36613585280229,0.0521172638436482,0.0590388475616955,0.7123893805309734,1.0,-0.38689040400715585,-8.75
